눈이 침침해	눈 체조를 해보세요.
이별후 6개월	많은 변화가 잇었겠죠.
이직각인가	직장 스트레스가 심한가봐요.
이제 어둠에서 나오려고 해	어둠에서 나온다니 다행이에요.
따지고 싶은데 참아야겠죠?	따질만하면 따져요.
쳇바퀴 도는 하루	그 속에서 가치와 의미를 찾아보세요.
오늘 데이트각이야.	지금 연락해보세요.
친구랑 더 친해지고 싶어	서로 예의를 지키면서 진심으로 아껴주세요.
샌드위치 생각 나	애그 샌드위치 추천합니다.
뱃살 빵빵	운동 해보세요.
좋아했던 사람에 대한 트라우마 때문에 연애를 못하겠어.	트라우마를 없앨 사람이 나타날 거예요.
자기 소개 어떻게 해	강렬하고 자신감있게 하면 되지 않을까싶어요.
남자친구가 너무 똑똑해	똑똑한 남자친구를 둬서 좋겠네요.
밑바닥까지 봐서 속은 휴련하네	적어도 미련 없이 떠날 수 있을 거예요.
베터리 겨우 15%야	미리 충전하세요.
연휴가 시작되고 나니 더 생각나네	그분과 함께 했던 나날이었을테니까요.
너무 힘들어	지금 무슨 말을 해도 와닿지 않겠지만 잘할 수 있을 거예요.
짝사랑 하는 상대가 나를 싫어하는 것 같애.	그것만큼 마음 아픈 일도 없겠네요.
오래된 게 좋겠지	오래된 건 오래된 대로 매력이 있죠.
여자친구에게 옷선물 좋은 브랜드있어?	직접 같이 골라보세요.
그게 잘 안되네.	마음이 쉽지 않죠.
나랑 상관 없는 이야기들	잊어버리세요.
오래 만나는 방법 있어?	좋아하면 오래 만날 수 있어요.
피어싱 할까?	패션으로 멋질 것 같아요.
인내	그 끝에는 아쉬움이 없을 거예요.
그녀는 내가 좋아하는 이 상황을 즐기는 것 같아.	나쁜 사람일지도 모르겠네요.
남자친구가 나를 떠날까봐 고민이야.	괜한 걱정하지 마요.
이제는 놓아줄꺼라 생각하지만	쉽지 않은 결정이죠.
지방 와서 친구가 없어	친구를 사귀어 보세요.
휴대폰 용량 없다	쓰지 않는 어플을 삭제해보세요.
6개월 가량의 이별과 재회의 끝	아쉬운 이야기네요.
할말 다 했는데 실수한건가	남에게 피해만 주지 않는다면 상관 없어요.
결혼한지 3개월 행복해	계속 행복하실 거예요.
소화제 먹어야겠다	급하게 먹거나 과식하지 말고 좋은 식습관을 가져보세요.
엄마가 나 때문에 힘든 거 같아	조금씩 보다 나은 모습을 보여드리세요.
사람들은 왜 이렇게 날 힘들게 할까	인간 관계가 제일 힘든 거 같아요.
뒤에서 발자국 소리 나서 놀램	항상 조심하세요.
사랑은 상처를	남기고 가요.
짝녀한테 크리스마스 선물로 뭐가 좋음?	많이 추우니 목도리는 어떨까 생각해요.
정말이지 이렇게 살고 싶지 않네	그래도 살아요.
여자들은 좋아하는데도 답장시간이 느릴 수 있나요?	밀당을 하면 느리겠죠.
여자들이 좋아하는 남자들 스타일이 어떻게 됨?	사람마다 너무 다를 것 같아요.
왜 진급이 안 되지	열심히 하면 할 수 있을 거예요.
사랑하는데 그리워	그리우면 그립다고 말해보세요.
동거하는데 헤어져야할 거 같아	단점들을 많이 봤나봐요.
금사빠인가	호의인지 호감인지 헷갈리나요?
말이 안 통해	포기하지마세요.
나를 좋아하는건 바라지도 않아요.	슬픈 말이에요.
시험 없어지면 좋겠다.	나중에 없애주세요.
이력서 광탈 중이야	좌절하지마세요.
여자가 떠가기전 하는 준비	누구든 마음의 정리가 필요한거겠죠.
화장품 사고 싶어	필요한 것만 사세요.
감정컨트롤을 못하겠어	그건 습관이에요.
오늘 못 만났어	내일 보면 될 거예요.
꿈에서 썸 타는 여자애가 나와	그분 생각을 많이 했나 봐요. 곧 좋은 소식이 들리려고 하는 것 아닐까요?
황당하지만 재미난 일이 생겼네ㅎㅎ	무슨 일인지 말씀해주세요.
드디어 데이트인데 뭐하지	야경이 멋져요. 야경구경 가세요.
헤어지지 않았다면 오늘이 1년째 되는 날이네	자꾸 생각하면 더 힘들어요.
